Treatment,Species,Subfamily,Tribe,Tribe_ID,Tillers_prefire,Tillers_postfire,PER_RS,EM_Days,FLO_Week,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Type,HBT,LC
4 Days,Poa sieberiana,Pooideae,Poeae,1,195,27,13.85,4,NA,20.37,9.57,1009,716.11,350,2.05,346.88,C3,Tufted,p
8 Days,Poa sieberiana,Pooideae,Poeae,1,81,17,20.99,4,NA,17.9,4.52,810,989.58,247,4.01,304.94,C3,Tufted,p
8 Days,Poa sieberiana,Pooideae,Poeae,1,381,279,73.23,4,NA,31.83,11.97,810,989.58,247,4.01,304.94,C3,Tufted,p
8 Days,Poa sieberiana,Pooideae,Poeae,1,74,12,16.22,4,NA,6.45,11.48,810,989.58,247,4.01,304.94,C3,Tufted,p
8 Days,Poa sieberiana,Pooideae,Poeae,1,103,11,10.68,4,NA,28.73,3.59,810,989.58,247,4.01,304.94,C3,Tufted,p
8 Days,Poa sieberiana,Pooideae,Poeae,1,106,0,0,NA,NA,13.45,7.88,810,989.58,247,4.01,304.94,C3,Tufted,p
11 Days,Poa sieberiana,Pooideae,Poeae,1,82,21,25.61,4,NA,23,3.57,1040,825.41,416,1.98,400,C3,Tufted,p
11 Days,Poa sieberiana,Pooideae,Poeae,1,97,111,114.43,2,NA,15.6,6.22,1040,825.41,416,1.98,400,C3,Tufted,p
11 Days,Poa sieberiana,Pooideae,Poeae,1,78,0,0,NA,NA,17.9,4.36,1040,825.41,416,1.98,400,C3,Tufted,p
11 Days,Poa sieberiana,Pooideae,Poeae,1,126,35,27.78,6,NA,17.9,7.04,1040,825.41,416,1.98,400,C3,Tufted,p
11 Days,Poa sieberiana,Pooideae,Poeae,1,157,0,0,NA,NA,15.6,10.07,1040,825.41,416,1.98,400,C3,Tufted,p
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,56,21,37.5,4,NA,23,2.44,1101,1365.16,314,4.35,285.2,C3,Tufted,p
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,57,4,7.02,6,NA,9.63,5.92,1101,1365.16,314,4.35,285.2,C3,Tufted,p
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,77,48,62.34,4,NA,11.46,6.72,1101,1365.16,314,4.35,285.2,C3,Tufted,p
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,52,45,86.54,4,NA,23,2.26,1101,1365.16,314,4.35,285.2,C3,Tufted,p
4 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,52,54,103.85,2,NA,11.46,4.54,1101,1365.16,314,4.35,285.2,C3,Tufted,p
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,68,120,176.47,4,NA,23,2.96,996,1538.28,329,4.68,330.32,C3,Tufted,p
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,52,101,194.23,2,NA,11.46,4.54,996,1538.28,329,4.68,330.32,C3,Tufted,p
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,76,74,97.37,4,NA,28.73,2.65,996,1538.28,329,4.68,330.32,C3,Tufted,p
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,75,113,150.67,2,NA,13.45,5.58,996,1538.28,329,4.68,330.32,C3,Tufted,p
8 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,69,40,57.97,4,NA,15.6,4.42,996,1538.28,329,4.68,330.32,C3,Tufted,p
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,115,137,119.13,4,NA,23,5,1298,1755.51,424,4.14,326.66,C3,Tufted,p
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,43,46,106.98,2,NA,13.45,3.2,1298,1755.51,424,4.14,326.66,C3,Tufted,p
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,48,73,152.08,2,NA,7.96,6.03,1298,1755.51,424,4.14,326.66,C3,Tufted,p
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,60,82,136.67,2,NA,13.45,4.46,1298,1755.51,424,4.14,326.66,C3,Tufted,p
11 Days,Rytidosperma carphoidesum,Danthonioideae,Danthonieae,7,79,151,191.14,2,NA,15.6,5.07,1298,1755.51,424,4.14,326.66,C3,Tufted,p
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,35,15,42.86,2,7,15.6,2.24,1262,1525.6,422,3.62,334.39,C3,Tufted,p
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,28,1,3.57,2,NA,25.78,1.09,1262,1525.6,422,3.62,334.39,C3,Tufted,p
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,64,0,0,NA,NA,17.9,3.57,1262,1525.6,422,3.62,334.39,C3,Tufted,p
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,27,12,44.44,4,7,13.45,2.01,1262,1525.6,422,3.62,334.39,C3,Tufted,p
4 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,15,6,40,4,NA,15.6,0.96,1262,1525.6,422,3.62,334.39,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,26,1,3.85,4,NA,23,1.13,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,22,0,0,NA,NA,15.6,1.41,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,55,14,25.45,2,NA,58.01,0.95,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,74,0,0,NA,NA,23,3.22,1148,1550.21,339,4.57,295.3,C3,Tufted,p
8 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,25,0,0,NA,NA,23,1.09,1148,1550.21,339,4.57,295.3,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,44,13,29.55,4,7,15.6,2.82,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,27,21,77.78,2,NA,23,1.17,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,39,9,23.08,2,7,15.6,2.5,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,53,9,16.98,2,6,35.09,1.51,1242,1602.48,416,3.85,334.94,C3,Tufted,p
11 Days,Rytidosperma caespitosum,Danthonioideae,Danthonieae,7,18,0,0,NA,NA,7.96,2.26,1242,1602.48,416,3.85,334.94,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,40,0,0,NA,NA,7.96,5.03,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,6,0,0,NA,NA,6.45,0.93,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,68,61,89.71,2,NA,28.73,2.37,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,17,33,194.12,4,NA,13.45,1.26,1425,1427.26,421,3.39,295.44,C3,Tufted,p
4 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,77,63,81.82,4,NA,23,3.35,1425,1427.26,421,3.39,295.44,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,18,21,116.67,2,NA,5.09,3.53,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,89,99,111.24,2,NA,23,3.87,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,107,153,142.99,2,NA,28.73,3.72,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,97,72,74.23,2,NA,28.73,3.38,921,1225.15,264,4.64,286.64,C3,Tufted,p
8 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,55,38,69.09,2,NA,15.6,3.53,921,1225.15,264,4.64,286.64,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,37,44,118.92,4,NA,17.9,2.07,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,64,74,115.63,2,NA,13.45,4.76,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,62,63,101.61,2,8,17.9,3.46,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,71,105,147.89,2,NA,23,3.09,1440,1918.08,448,4.28,311.11,C3,Tufted,p
11 Days,Rytidosperma duttonianum,Danthonioideae,Danthonieae,7,50,79,158,4,10,17.9,2.79,1440,1918.08,448,4.28,311.11,C3,Tufted,p
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,141,79,56.03,4,NA,28.73,4.91,1425,1606.67,542,2.96,380.35,C3,Tufted,p
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,107,30,28.04,4,NA,31.83,3.36,1425,1606.67,542,2.96,380.35,C3,Tufted,p
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,69,0,0,NA,NA,42.1,1.64,1425,1606.67,542,2.96,380.35,C3,Tufted,p
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,98,40,40.82,4,NA,31.83,3.08,1425,1606.67,542,2.96,380.35,C3,Tufted,p
4 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,124,51,41.13,2,NA,23,5.39,1425,1606.67,542,2.96,380.35,C3,Tufted,p
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,87,64,73.56,2,NA,17.9,4.86,1411,1967.67,476,4.13,337.35,C3,Tufted,p
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,88,81,92.05,2,NA,38.52,2.28,1411,1967.67,476,4.13,337.35,C3,Tufted,p
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,71,56,78.87,4,NA,20.37,3.49,1411,1967.67,476,4.13,337.35,C3,Tufted,p
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,68,53,77.94,2,NA,31.83,2.14,1411,1967.67,476,4.13,337.35,C3,Tufted,p
8 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,33,27,81.82,2,NA,35.09,0.94,1411,1967.67,476,4.13,337.35,C3,Tufted,p
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,86,79,91.86,6,NA,25.78,3.34,1400,1933.39,652,2.97,465.71,C3,Tufted,p
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,77,81,105.19,2,NA,20.37,3.78,1400,1933.39,652,2.97,465.71,C3,Tufted,p
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,67,75,111.94,2,NA,17.9,3.74,1400,1933.39,652,2.97,465.71,C3,Tufted,p
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,105,104,99.05,4,NA,23,4.57,1400,1933.39,652,2.97,465.71,C3,Tufted,p
11 Days,Rytidosperma erianthum,Danthonioideae,Danthonieae,7,95,133,140,4,NA,23,4.13,1400,1933.39,652,2.97,465.71,C3,Tufted,p
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,32,6,18.75,4,7,17.9,1.79,1389,1694,461,3.67,331.89,C3,Tufted,p
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,60,0,0,NA,NA,31.83,1.88,1389,1694,461,3.67,331.89,C3,Tufted,p
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,59,0,0,NA,NA,86.66,0.68,1389,1694,461,3.67,331.89,C3,Tufted,p
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,56,5,8.93,4,7,42.1,1.33,1389,1694,461,3.67,331.89,C3,Tufted,p
4 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,9,0,0,NA,NA,9.63,0.93,1389,1694,461,3.67,331.89,C3,Tufted,p
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,48,38,79.17,2,7,31.83,1.51,998,1568.67,332,4.72,332.67,C3,Tufted,p
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,50,28,56,2,8,20.37,2.45,998,1568.67,332,4.72,332.67,C3,Tufted,p
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,75,63,84,2,7,28.73,2.61,998,1568.67,332,4.72,332.67,C3,Tufted,p
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,37,28,75.68,2,9,20.37,1.82,998,1568.67,332,4.72,332.67,C3,Tufted,p
8 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,38,31,81.58,2,8,17.9,2.12,998,1568.67,332,4.72,332.67,C3,Tufted,p
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,48,26,54.17,4,7,23,2.09,1227,1767.56,542,3.26,441.73,C3,Tufted,p
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,46,0,0,NA,NA,15.6,2.95,1227,1767.56,542,3.26,441.73,C3,Tufted,p
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,26,34,130.77,2,6,31.83,0.82,1227,1767.56,542,3.26,441.73,C3,Tufted,p
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,86,42,48.84,2,6,35.09,2.45,1227,1767.56,542,3.26,441.73,C3,Tufted,p
11 Days,Rytidosperma  fulvum,Danthonioideae,Danthonieae,7,45,28,62.22,2,7,25.78,1.75,1227,1767.56,542,3.26,441.73,C3,Tufted,p
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,97,99,102.06,2,NA,11.46,8.46,256,313.04,101,3.1,394.53,C3,Tufted,p
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,154,6,3.9,4,NA,17.9,8.6,256,313.04,101,3.1,394.53,C3,Tufted,p
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,155,0,0,NA,NA,23,6.74,256,313.04,101,3.1,394.53,C3,Tufted,p
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,64,66,103.13,2,NA,42.1,1.52,256,313.04,101,3.1,394.53,C3,Tufted,p
4 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,60,3,5,4,NA,9.63,6.23,256,313.04,101,3.1,394.53,C3,Tufted,p
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,118,143,121.19,2,NA,25.78,4.58,246,417.02,71,5.87,288.62,C3,Tufted,p
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,69,0,0,NA,NA,17.9,3.85,246,417.02,71,5.87,288.62,C3,Tufted,p
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,122,162,132.79,4,NA,25.78,4.73,246,417.02,71,5.87,288.62,C3,Tufted,p
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,182,109,59.89,4,NA,23,7.91,246,417.02,71,5.87,288.62,C3,Tufted,p
8 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,131,64,48.85,4,NA,15.6,8.4,246,417.02,71,5.87,288.62,C3,Tufted,p
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,78,219,280.77,4,NA,20.37,3.83,267,537.05,94,5.71,352.06,C3,Tufted,p
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,126,64,50.79,4,NA,17.9,7.04,267,537.05,94,5.71,352.06,C3,Tufted,p
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,173,72,41.62,4,NA,23,7.52,267,537.05,94,5.71,352.06,C3,Tufted,p
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,66,0,0,NA,NA,20.37,3.24,267,537.05,94,5.71,352.06,C3,Tufted,p
11 Days,Rytidosperma geniculatum,Danthonioideae,Danthonieae,7,128,21,16.41,4,NA,15.6,8.21,267,537.05,94,5.71,352.06,C3,Tufted,p
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,69,14,20.29,6,NA,17.9,3.85,548,724.5,195,3.72,355.84,C3,Tufted,p
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,57,8,14.04,4,NA,13.45,4.24,548,724.5,195,3.72,355.84,C3,Tufted,p
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,95,1,1.05,4,NA,28.73,3.31,548,724.5,195,3.72,355.84,C3,Tufted,p
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,98,13,13.27,4,NA,35.09,2.79,548,724.5,195,3.72,355.84,C3,Tufted,p
4 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,53,6,11.32,6,NA,9.63,5.5,548,724.5,195,3.72,355.84,C3,Tufted,p
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,80,18,22.5,4,NA,20.37,3.93,694,1273.83,242,5.26,348.7,C3,Tufted,p
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,82,70,85.37,2,NA,20.37,4.03,694,1273.83,242,5.26,348.7,C3,Tufted,p
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,113,27,23.89,4,NA,25.78,4.38,694,1273.83,242,5.26,348.7,C3,Tufted,p
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,79,28,35.44,2,NA,15.6,5.07,694,1273.83,242,5.26,348.7,C3,Tufted,p
8 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,115,15,13.04,4,NA,42.1,2.73,694,1273.83,242,5.26,348.7,C3,Tufted,p
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,54,59,109.26,4,NA,20.37,2.65,544,933.73,200,4.67,367.65,C3,Tufted,p
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,117,85,72.65,4,NA,25.78,4.54,544,933.73,200,4.67,367.65,C3,Tufted,p
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,67,9,13.43,4,NA,13.45,4.98,544,933.73,200,4.67,367.65,C3,Tufted,p
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,61,53,86.89,4,NA,20.37,2.99,544,933.73,200,4.67,367.65,C3,Tufted,p
11 Days,Rytidosperma laeve,Danthonioideae,Danthonieae,7,71,37,52.11,4,NA,42.1,1.69,544,933.73,200,4.67,367.65,C3,Tufted,p
4 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,15,1,6.67,6,NA,3.9,3.85,1259,1138.11,499,2.28,396.35,C3,Tufted,p
4 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,34,3,8.82,4,NA,11.46,2.97,1259,1138.11,499,2.28,396.35,C3,Tufted,p
4 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,10,0,0,NA,NA,7.96,1.26,1259,1138.11,499,2.28,396.35,C3,Tufted,p
4 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,36,0,0,NA,NA,9.63,3.74,1259,1138.11,499,2.28,396.35,C3,Tufted,p
4 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,43,1,2.33,4,NA,23,1.87,1259,1138.11,499,2.28,396.35,C3,Tufted,p
8 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,115,42,36.52,4,NA,20.37,5.65,919,723.3,319,2.27,347.12,C3,Tufted,p
8 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,25,0,0,4,NA,7.96,3.14,919,723.3,319,2.27,347.12,C3,Tufted,p
8 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,24,2,8.33,4,NA,9.63,2.49,919,723.3,319,2.27,347.12,C3,Tufted,p
8 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,35,0,0,NA,NA,9.63,3.63,919,723.3,319,2.27,347.12,C3,Tufted,p
8 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,11,0,0,NA,NA,6.45,1.71,919,723.3,319,2.27,347.12,C3,Tufted,p
11 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,80,10,12.5,4,NA,13.45,5.95,790,649.46,329,1.97,416.46,C3,Tufted,p
11 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,12,0,0,NA,NA,6.45,1.86,790,649.46,329,1.97,416.46,C3,Tufted,p
11 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,65,0,0,NA,NA,20.37,3.19,790,649.46,329,1.97,416.46,C3,Tufted,p
11 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,18,0,0,NA,NA,6.45,2.79,790,649.46,329,1.97,416.46,C3,Tufted,p
11 Days,Rytidosperma pallidum ,Danthonioideae,Danthonieae,7,21,0,0,NA,NA,6.45,3.26,790,649.46,329,1.97,416.46,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,92,47,51.09,2,6,13.45,6.84,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,94,94,100,2,NA,13.45,6.99,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,84,29,34.52,2,NA,25.78,3.26,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,131,90,68.7,2,NA,25.78,5.08,701,992.52,283,3.51,403.71,C3,Tufted,p
4 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,81,138,170.37,2,NA,20.37,3.98,701,992.52,283,3.51,403.71,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,99,118,119.19,2,NA,25.78,3.84,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,82,131,159.76,4,NA,66.92,1.23,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,75,64,85.33,2,NA,13.45,5.58,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,76,132,173.68,2,NA,17.9,4.24,609,955.46,220,4.34,361.25,C3,Tufted,p
8 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,93,74,79.57,2,NA,38.52,2.41,609,955.46,220,4.34,361.25,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,81,62,76.54,2,NA,38.52,2.1,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,61,97,159.02,2,NA,17.9,3.41,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,111,91,81.98,2,NA,28.73,3.86,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,80,115,143.75,2,NA,11.46,6.98,638,942.74,236,3.99,369.91,C3,Tufted,p
11 Days,Rytidosperma pilosum,Danthonioideae,Danthonieae,7,114,98,85.96,2,NA,15.6,7.31,638,942.74,236,3.99,369.91,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,85,72,84.71,2,NA,20.37,4.17,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,77,76,98.7,2,NA,23,3.35,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,94,23,24.47,2,NA,31.83,2.95,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,58,3,5.17,4,NA,31.83,1.82,1865,2348.62,774,3.03,415.01,C3,Tufted,p
4 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,84,73,86.9,2,NA,25.78,3.26,1865,2348.62,774,3.03,415.01,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,87,65,74.71,2,10,20.37,4.27,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,62,57,91.94,2,10,23,2.7,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,110,63,57.27,2,7,17.9,6.14,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,104,67,64.42,2,10,28.73,3.62,1201,1811.77,455,3.98,378.85,C3,Tufted,p
8 Days,Rytidosperma indutum,Danthonioideae,Danthonieae,7,92,76,82.61,2,10,23,4,1201,1811.77,455,3.98,378.85,C3,Tufted,p
